key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14300,03-Feb-15,1,38,PUERTO,2,3,4405.3616,17,2.9933533,NA,NA,NA,26,84,0
14301,03-Feb-15,1,33,TAMPICO ALTAMIRA,1,26,10329.501,13,2.9049193,NA,NA,NA,286,315,1
14302,03-Feb-15,1,30,MONTERREY SANTA LUCIA,1,10,7371.1299,11,2.0577347,NA,NA,NA,185,106,0
14303,03-Feb-15,1,27,TORREON,1,5,4773.2304,,,NA,NA,NA,,36,0
14304,03-Feb-15,1,35,NOGALES,1,2,254.11941,19,9.0304974,NA,NA,NA,140,113,0
14305,03-Feb-15,1,40,CHIHUAHUA,1,4,1304.5369,,,NA,NA,NA,,49,0
14306,03-Feb-15,1,26,ARAGON,2,2,377.68875,8,1.6756498,NA,NA,NA,266,13,0
14307,03-Feb-15,0,35,GUADALAJARA AJIJIC,1,5,1068.3643,16,2.8956988,NA,NA,NA,307,64,0
14308,03-Feb-15,1,30,TOLUCA METEPEC,2,12,2805.8888,13,2.0701407,NA,NA,NA,460,135,0
14309,03-Feb-15,1,28,TIJUANA RIO,1,3,1178.3889,12,1.8742509,NA,NA,NA,322,44,0
14310,03-Feb-15,0,28,GUADALAJARA TONALA,1,17,4010.419,9,1.5287617,NA,NA,NA,151,99,0
14311,03-Feb-15,1,34,JUAREZ PASO DEL NORTE,1,7,1471.913,18,2.8631467,NA,NA,NA,52,113,0
14312,03-Feb-15,1,33,PRADO CHURUBUSCO,2,8,2788.0984,,,NA,NA,NA,,30,0
14313,03-Feb-15,0,24,MONTERREY VOLCAN,1,1,708.54409,,,NA,NA,NA,,35,0
14314,03-Feb-15,0,26,CRACOVIA,2,4,425.61615,8,1.1546402,NA,NA,NA,211,43,0
14315,03-Feb-15,0,30,OLIMPO,2,5,5490.839,,,NA,NA,NA,,34,0
14316,03-Feb-15,1,28,PRADO CHURUBUSCO,2,1,2949.8794,,,NA,NA,NA,,57,0
14317,03-Feb-15,0,45,TIJUANA CACHANILLA,1,17,12331.98,21,3.2214818,NA,NA,NA,1,121,0
14318,03-Feb-15,1,29,NA,2,5,1420.8651,9,3.608428,NA,NA,NA,228,31,0
14319,03-Feb-15,0,33,MONTERREY LAS TORRES,1,28,9744.9949,16,5.6450878,NA,NA,NA,228,524,1
14320,03-Feb-15,0,27,CUAUTITLAN,2,18,21191.412,6,2.1165424,NA,NA,NA,172,531,1
14321,03-Feb-15,0,37,CULIACAN,1,4,2650.7707,19,6.1485433,NA,NA,NA,496,77,0
14322,03-Feb-15,1,31,MONTERREY MITRAS,1,3,1284.1418,15,3.8698704,NA,NA,NA,162,42,0
14323,03-Feb-15,0,33,CUERNAVACA MORELOS,2,9,3005.5481,13,1.8441055,NA,NA,NA,33,48,0
